,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
1,Alouette Lake,-122.4333333,49.31666667,-111,NA,NA,NA,0.233627802,16,74,0.046039683,21.7,7.5,-3.5,NA,NA,2.128222227,601.3007813
2,Arrow-Lower,-118.15,49.63333333,-281.5,6.6,NA,2.163523316,0.67357513,520,33,2.851099816,25.7,6.4,-8,38.6,0.074230769,1.022500038,489.2488098
3,Arrow-Narrows,-123.25,49.43333333,354.5,NA,290.0796212,NA,0.611415839,520,22,0.025399304,19.9,5.6,-5.4,38.6,0.074230769,2.736000061,585.9829712
4,Arrow-Narrows,-123.25,49.43333333,-265.1,52.9,NA,NA,NA,520,33,0.025399304,19.9,5.6,-5.4,38.6,0.074230769,2.736000061,585.9829712
5,Arrow-Upper,-117.9,50.31666667,283.4,23,NA,NA,NA,520,33,12.12722643,24.9,6.2,-7.9,NA,NA,2.772000074,20.66116577
6,Balbina,-59.46666667,-1.883333333,3800,113,7087.897638,76.64425197,1.393700787,1770,20,187.4786709,32.9,27.2,22.4,18,0.010169492,1.423499942,38.25350043
7,Barra Bonita,-48.58333333,-22.51666667,1036.4,9.9,3187.260766,11.07114894,2.29787234,324,42,37.73589845,29.5,20.9,10.4,4,0.012345679,1.25,997.25177
8,Barra Bonita,-48.58333333,-22.51666667,1754.7,NA,5396.262511,NA,2.29787234,324,42,37.73589845,29.5,20.9,10.4,4,0.012345679,1.25,997.25177
9,Baskatong (Mercier),-75.8,46.71666667,316.6,3.2,2164.893616,7.956882296,5.10929942,413,70,0.134889047,24.3,3.2,-20.2,2.6,0.0062954,1.246999979,590.227417
10,Bersimis,-70.15,49.65,407.7,0.1,34.78097301,0.003102189,0.06374362,798,43,9.772372724,22.3,-0.1,-24.1,1.6,0.002005013,1.883000016,22.84723733
11,Bianco,10.01666667,46.4,NA,0.01,NA,7.72E-05,0.015873016,2,94,7.272271931,14.2,2.1,-8.4,0.1,0.05,1.120000005,326.0580139
12,Brisay/Caniapiscau,-70.43333333,54.66666667,182.5,9.8,901.9528849,17.61223068,3.692807663,4318,19,3.324118187,16.5,-5.2,-29.3,34.3,0.007943492,1.644199967,410.5278015
13,Buntzen,-122.85,49.35,384.8,NA,1.734822276,NA,0.003368648,2,88,0.026067964,22.3,8.4,-2.5,NA,NA,2.736000061,602
14,Cabonga,-76.68333333,47.5,381.8,18,NA,NA,NA,434,70,0.094367786,23,1.8,-22.2,1.3,0.002995392,2.089999914,573.4033813
15,Cabonga,-75.8,46.8,376.6,13.9,NA,NA,NA,434,79,0,24.4,3.3,-20.2,1.3,0.002995392,0.14301587,24.39182251
16,Cat Arm,-57.58333333,50.08333333,615.5,NA,52.08970466,NA,0.063235294,43,16,0.186170779,17.5,1.4,-14.9,1,0.023255814,6.942000071,520.3057861
17,Chippewa Lake,-90.98333333,46.18333333,106.4,7,138.9366389,3.323843037,0.97568778,61,73,0.075869186,25.7,3.8,-19.7,NA,NA,4.632999897,608.9519043
18,CorumbÃ¡,-48.51666667,-17.98333333,294.4,NA,12.16748643,NA,0.030881527,55,8,0.468091591,31.7,23.8,12.3,1.2,0.021818182,0.42899999,751.5601196
19,CorumbÃ¡,-48.51666667,-17.98333333,1024.2,NA,42.32995789,NA,0.030881527,55,8,0.468091591,31.7,23.8,12.3,1.2,0.021818182,0.42899999,751.5601196
20,CorumbÃ¡,-48.51666667,-17.98333333,724.1,NA,29.92689173,NA,0.030881527,55,8,0.468091591,31.7,23.8,12.3,1.2,0.021818182,0.42899999,751.5601196
21,Curua-Una,-54.28333333,-2.816666667,790.9,65,317.54635,9.49,0.3,72,22,61.89863363,31.6,25.7,20.2,1,0.013888889,1.317000031,886.0076294
22,Day Lake,-90.9,46.18333333,190.9,7,NA,NA,NA,2,29,0.07616303,25.7,3.9,-19.5,NA,NA,4.632999897,608.4547729
23,Dillon Lake,-106.05,39.61666667,NA,21,NA,14.13554633,1.383125864,13,27,2.045877094,22.1,1.4,-17.1,0.3,0.023076923,1.649000049,462.2716064
24,Dix,7.4,46.06666667,NA,0.01,NA,9.05E-06,0.001858736,4,45,0,8.9,-2.1,-12,0.4,0.1,0.143256175,439.8454895
25,Duncan Lake,-126,54.41666667,-220.9,10,NA,NA,NA,56,37,3.293003778,20.3,2.1,-17.7,1.7,0.030357143,1.008999944,514.9387817
26,Dworkshak,-116.25,46.56666667,-325.9,47,NA,0.511769567,0.02237407,37,31,0.278189101,28.3,7.7,-6.6,4.3,0.116216216,1.687999964,512.5858765
27,Eastmain-Opinica,-76.61666667,52.78333333,940.9,8,279.8306296,0.865185185,0.222222222,600,13,0.093618323,19,-2.8,-27.7,4.2,0.007,21.82999992,542.0098877
28,EOL,-77.1,53.45,316.6,3.8,NA,NA,NA,NA,24,0.083203656,18.3,-3.3,-27.9,NA,NA,3.359999895,526.9833984
29,F. D. Roosevelt,-118.7666667,47.9,-126,11,NA,0.086595126,0.016175926,306,62,0.028174308,29.3,8,-7.5,11.6,0.037908497,1.273000002,305.739502
30,Funil,-44.55,-22.51666667,169.4,12.5,6.60331068,0.177184466,0.029126214,27,39,0.882406647,29.4,20.9,10.6,0.5,0.018518519,1.771999955,772.647583
31,Funil,-44.55,-22.51666667,-156,3.7,NA,0.052446602,0.029126214,27,39,0.882406647,29.4,20.9,10.6,0.5,0.018518519,1.771999955,772.647583
32,Funil,-44.55,-22.51666667,-163.6,3.5,NA,0.04961165,0.029126214,27,40,0.882406647,29.4,20.9,10.6,0.5,0.018518519,1.771999955,772.647583
