Model,model_present_ch4_diff,model_ch4
ssp585,-51.16135988,14.67104302
ssp585,5.244009935,22.55733703
ssp585,167.1760555,1316.085296
ssp585,650.1361593,676.0673774
ssp585,-0.898450836,2.883899844
ssp585,-63.3336714,25.4971491
ssp585,-0.077240735,3.655872305
ssp585,91.07363396,193.708989
ssp585,-0.332377787,2.689244543
ssp585,7.193103582,19.79828498
ssp585,-1.043630155,3.259882905
ssp585,276.5671675,2477.207048
ssp585,4462.488476,5031.421919
ssp585,3.405697071,3.996612481
ssp585,3.542915363,21.37545616
ssp585,0.835926207,1.569241267
ssp585,916.7740322,1453.706974
ssp585,-3.13339773,15.63255697
ssp585,9.751957504,127.5718025
ssp585,1209.304883,1816.731083
ssp585,189.8798839,1485.854234
ssp585,15.77580406,44.47020996
ssp585,693.602542,1167.424277
ssp585,1182.729576,1756.810345
ssp585,126.5062245,690.6724465
ssp585,1258.71654,3378.90474
ssp585,9.30130483,10.27288478
ssp585,8.950855891,89.44010399
ssp585,-296.9538676,1765.168672
ssp585,1.855231837,3.729344217
ssp585,-0.268547452,2.406454078
ssp585,4.027753914,26.51775671
ssp585,43.17574604,121.5828167
ssp585,9.119968536,99.97149624
ssp585,1188.877345,1673.934405
ssp585,-2.208561689,2.022121731
ssp585,106.3128206,214.5993776
ssp585,19.11984387,83.80913017
ssp585,74.83945037,95.90368267
ssp585,180.3276129,215.9398954
ssp585,1440.279945,1942.101254
ssp585,-847.276856,943.006864
ssp585,3752.136834,3873.66524
ssp585,8.708681036,98.91608724
ssp585,-0.327858745,2.391486985
ssp585,171.0329999,197.6712779
ssp585,2503.068051,3743.175861
ssp585,3.378421306,20.19724451
ssp585,-51.41422619,29.90365411
ssp585,-1.082342027,2.457612063
ssp585,329.3493485,1925.492369
ssp585,593.4567331,1633.928003
ssp585,5.572072294,21.97988089
ssp585,22.71117245,45.22187665
ssp585,1200.969286,1784.536262
ssp585,3.244961463,18.67524976
ssp585,91.41129925,183.7227604
ssp585,-0.799806988,3.141219622
ssp585,-1.254335426,11.57547457
ssp585,-810.4624655,1455.228774
ssp585,162.1931618,271.4488038
ssp585,291.8058485,318.5253919
ssp585,199.7828502,388.2812282
ssp585,-243.9295612,74.35829076
ssp585,93.54572002,1180.04296
ssp585,376.8026419,521.1144719
ssp585,1.323465227,7.017558427
ssp585,207.2207066,380.3795006
ssp585,93.8063024,377.4203264
ssp585,-0.32087972,2.51063051
ssp585,14.79352218,16.08790234
ssp585,2.36618183,11.31938885
ssp585,-0.317717299,27.4691312
ssp585,27.77976844,91.28162424
ssp585,1.077002781,4.923988101
ssp585,22.80207242,47.61515872
ssp585,5491.615136,9458.484826
ssp585,-0.623551294,3.405047386
ssp585,927.1919731,1255.122901
ssp585,-3.221766013,4.682015577
ssp585,99.39341893,215.2078079
ssp585,3787.429386,4748.844344
ssp585,404.4939932,2320.901873
ssp585,-4.722671019,12.97954878
ssp585,4.766395197,20.097486
ssp585,38.41320008,83.06660168
ssp585,-0.284166153,0.530483957
ssp585,1089.660877,2716.445107
ssp585,23.38802816,74.78901996
ssp585,-55.60929221,12.68622019
ssp585,177.4340733,249.2826023
ssp585,-103.2319894,743.2900066
ssp585,1296.629097,2224.026042
ssp585,31.01784166,270.5734527
ssp585,157.5246368,194.4255391
ssp585,347.8541336,406.4476415
ssp585,-2.296995533,13.97122617
ssp585,186.9606,219.8386987
ssp585,76.68162241,179.8532694
ssp585,1.342917798,3.848614698
ssp585,623.1546376,1481.546236
ssp585,207.8339877,253.4282961
ssp585,760.7736166,1732.780852
ssp585,0.465249817,4.800513597
ssp585,-3.811952654,7.810419846
ssp585,-2312.215013,1674.023427
ssp585,1341.378014,1489.946823
ssp585,-8.330867985,3.174388615
ssp585,557.2712691,2354.284129
ssp585,0.875983938,2.697233468
ssp585,0.825434339,3.580581039
ssp585,448.1335727,672.6789627
ssp585,-1.48181681,2.88707113
ssp585,34.61015422,38.61266294
ssp585,-0.014546024,0.660849346
ssp585,285.1438712,630.5042172
ssp585,505.4963551,708.0854261
ssp585,-1.202024214,2.691748536
ssp585,1066.649303,2054.609591
ssp585,1020.79838,2043.24372
ssp585,-80.35574371,1066.676826
ssp585,1.977305435,30.41351223
ssp585,1.890922332,2.207252492
ssp585,0.057606069,0.523708969
ssp585,924.5397656,1412.54081
ssp585,5.929774086,10.92360332
ssp585,875.3382708,1867.214591
ssp585,1280.706561,1295.814222
ssp585,4.42034043,6.3280527
ssp585,2524.973919,4158.990829
ssp585,503.1048697,1712.18156
ssp585,152.0378155,554.2735255
ssp585,68.81592632,80.95607792
ssp585,80.64157204,92.80534334
ssp585,9929.397797,15742.94063
ssp585,1519.842861,1764.165736
ssp585,110.2534831,1235.950803
ssp585,-6.206330395,5.138541905
ssp585,12.69779161,96.56208951
ssp585,18.88632689,409.1870879
ssp585,642.4714788,2196.883159
ssp585,-2.491846774,0.558585816
ssp585,3.143960552,5.591966192
ssp585,24.15877609,87.95099739
ssp585,616.3614435,999.1479395
ssp585,-11.04342203,4.616415468
ssp585,-0.519660566,2.630886934
ssp585,7.44803619,9.17556882
ssp585,-0.310929835,30.78098507
ssp585,10.22449121,238.3890022
ssp585,94.93456725,1245.376247
ssp585,2.526234944,26.42817164
ssp585,-55.63751161,615.3295254
ssp585,8.442586784,99.41939788
ssp585,-0.352875059,2.787900431
ssp585,162.0307816,202.3474556
ssp585,49.20380735,119.9960152
ssp585,51.8448579,1205.952408
ssp585,41.14255714,127.7587974
ssp585,2053.077615,5721.853295
ssp585,1581.963342,2247.132266
ssp585,-0.061667541,8.760591459
ssp585,139.7162855,177.5037746
ssp585,-221.3726294,1592.515601
ssp585,461.9730253,1563.826635
ssp585,-0.469862556,2.861136584
ssp585,1200.019004,1343.639927
ssp585,174.538635,202.4132773
ssp585,-311.3290067,33753.23089
ssp585,850.3629015,989.3107585
ssp585,-34.1725628,17.6691791
ssp585,705.5327441,1021.989367
ssp585,-166.7959761,318.9198059
ssp585,382.3572177,968.9075827
ssp585,-0.837980658,3.524057802
ssp585,764.8180902,813.0596915
ssp585,1545.546713,2855.483533
ssp585,650.6701181,2558.164938
