Model,model_present_ch4_diff,model_ch4,model_present_co2_diff,model_co2
ssp585,-2.951625923,3.21061013,-82.34101059,105.0147334
ssp585,0.420107212,3.870128956,34.85822106,184.7441085
ssp585,1.296519651,22.63017147,56.59408306,152.0754655
ssp585,12.83364716,16.94529104,-3.789334506,121.0398347
ssp585,-0.198002797,1.584042579,-19.18007428,293.3794477
ssp585,-2.936988908,4.081610429,-2.163351679,140.9579214
ssp585,-0.016016545,1.755916632,-0.928796302,310.5092555
ssp585,2.373828478,9.846831954,-43.41767905,96.54531312
ssp585,-0.079773301,1.536689298,-89.87900918,120.0076934
ssp585,0.651127008,3.656943069,66.08134165,416.5830672
ssp585,-0.214170655,1.670632004,63.2349793,184.7905964
ssp585,1.492582665,29.78373106,-39.10170394,143.5041864
ssp585,24.79374078,40.51574797,5.33942228,255.1779866
ssp585,1.029458066,1.825204509,-105.6674705,202.5979999
ssp585,0.286143391,3.780723493,-0.229361711,177.0941653
ssp585,0.342179648,1.216149501,-4.022413648,223.9918332
ssp585,8.297388492,23.62904969,201.3808845,816.2071307
ssp585,-0.27252031,3.300354939,-37.98230481,102.0634406
ssp585,0.278814191,8.213299181,-0.168366209,31.46945896
ssp585,9.855633813,26.03106537,269.5360407,421.9939131
ssp585,1.375245229,23.85457937,-0.463013047,281.016271
ssp585,0.900450825,5.196935786,-3.905346342,121.8209254
ssp585,6.961009311,21.48228668,27.14835157,58.5985326
ssp585,9.871026168,25.65465098,249.0112845,458.8523475
ssp585,1.438654213,17.10331203,-0.665247487,31.87061406
ssp585,6.244991451,34.08222366,183.1306603,454.3045441
ssp585,1.762695042,2.750251652,22.22962332,156.5860976
ssp585,0.315098353,7.039465863,53.09604993,137.2264136
ssp585,-1.795944739,25.70758825,-3.05557655,333.8554053
ssp585,0.457524301,1.771156052,12.45031119,126.9347166
ssp585,-0.068848986,1.464300389,-132.1603699,126.2443333
ssp585,0.286670884,4.151778439,79.70086512,200.1474093
ssp585,1.395303039,8.043563453,-1.845735179,124.9738624
ssp585,0.300644411,7.388141332,117.522149,192.5289881
ssp585,10.45203387,25.12186131,40.73398295,71.61514389
ssp585,-0.513162386,1.357720644,-54.45091971,648.0079179
ssp585,2.645695217,10.29469236,6.627202329,94.27620826
ssp585,0.727909863,6.843445503,0.507460499,81.71967918
ssp585,3.499329937,7.256047682,-0.963840821,227.8603197
ssp585,5.603557634,10.32257131,-61.92437773,129.3230989
ssp585,11.90861131,26.79651572,460.7448344,618.4705873
ssp585,-6.285684205,19.58012173,1.258419806,225.7565368
ssp585,28.12409537,36.16609532,-0.200910753,239.6214242
ssp585,0.288535727,7.354165805,8.311473167,94.69373766
ssp585,-0.083797684,1.460338155,-1.249390112,217.040133
ssp585,5.773841967,9.933804831,-2.238952789,125.6701109
ssp585,13.57862371,35.63186178,331.2434128,590.6557506
ssp585,0.281890977,3.68876651,0.908509378,148.0918742
ssp585,-2.380142634,4.374202689,105.9491549,227.9189464
ssp585,-0.253777359,1.477739167,-161.7190934,281.2567294
ssp585,2.088743937,26.69674911,202.1532717,420.3745969
ssp585,4.42471329,24.85932456,276.6512766,464.805966
ssp585,0.45632164,3.826786185,2.883653373,104.6543467
ssp585,1.36825214,5.234904393,-85.09175106,118.1694251
ssp585,9.933341105,25.82970993,5.084104723,219.1098553
ssp585,0.283624063,3.56536495,10.49863628,188.7514566
ssp585,2.486329671,9.623066358,2.324389908,101.546604
ssp585,-0.17019197,1.643944113,-70.90569882,175.5474014
ssp585,-0.132359338,2.896603389,-135.0540833,192.9417476
ssp585,-5.011565536,23.63978916,6.812801892,438.3609202
ssp585,3.722199256,11.40085021,5.08527339,217.9274819
ssp585,8.055387054,12.22085671,-68.07891933,230.924788
ssp585,3.587486151,13.3183981,98.85215675,197.8533561
ssp585,-5.719970184,6.496927665,0.008610587,403.6452764
ssp585,0.760438716,21.58282411,7.026893109,98.33463772
ssp585,6.468750809,15.13383755,208.7591624,424.906656
ssp585,0.202225483,2.330740521,61.72918888,195.229207
ssp585,3.821271814,13.20000362,21.83999201,53.3114924
ssp585,1.535308038,13.15530745,89.13471263,233.6969057
ssp585,-0.079979735,1.491500712,-2.934109412,221.5585595
ssp585,2.223183998,3.341766039,-6.06407323,115.3248544
ssp585,0.277765891,2.868596768,31.49854254,167.0804341
ssp585,-0.021108046,4.215823406,87.53264447,226.8447268
ssp585,1.035521364,7.102049179,39.10308437,135.5984966
ssp585,0.20313297,1.998340317,-30.32621054,152.2067725
ssp585,1.319784782,5.353471539,-82.2727277,126.6577779
ssp585,16.75240802,53.29388366,93.05323328,441.1390997
ssp585,-0.12899101,1.702543246,-20.80524215,399.9792063
ssp585,9.792520019,22.16880796,-4.554440732,137.3623913
ssp585,-0.499200256,1.955083404,-113.5290152,478.3404995
ssp585,2.431812121,10.30735815,0.99827548,145.2248534
ssp585,19.7661396,39.51134851,-15.62644641,163.2253992
ssp585,2.310532285,28.95250646,3.496996162,254.9293065
ssp585,-0.439200523,3.044265311,-42.01217439,107.4206142
ssp585,0.408281111,3.680842752,-0.86065936,185.5627512
ssp585,1.61082487,6.817047386,-4.672022759,130.5852868
ssp585,-0.155495934,0.759323218,12.8646208,222.3349937
ssp585,6.188362414,31.0004256,578.7687565,802.3232761
ssp585,0.978909836,6.513245302,26.72102576,97.40502902
ssp585,-3.247133812,3.014193339,47.53176757,488.6193874
ssp585,4.586004281,10.98677163,24.65655196,216.3705116
ssp585,-1.02599377,17.65745888,275.3093114,481.2690412
ssp585,8.982633662,28.42132854,63.71005916,146.9450761
ssp585,0.586378486,11.38486889,306.0536291,616.4110989
ssp585,5.070207277,9.862634384,7.761227445,235.6759365
ssp585,7.727279543,13.5855212,-0.31023512,192.2472672
ssp585,-0.214803188,3.143178418,-85.22897213,102.9952783
ssp585,5.844999424,10.40310318,1.047690557,212.5488185
ssp585,2.044577839,9.534514661,4.248229092,49.08816861
